customer_id,first_name,last_name,gender,date_of_birth,city,state,registration_date,plan_id,status
C000001,Upma,Doshi,Male,1975-08-05,Bhopal,Maharashtra,2024-11-14,P002,ACTIVE
C000002,Bhavini,Kapoor,Female,2005-07-03,Bhopal,Maharashtra,2025-07-30,P001,ACTIVE
C000003,Faqid,Khosla,Male,1991-03-04,Nagpur,Madhya Pradesh,2025-02-27,P003,ACTIVE
C000004,Manan,Sheth,Female,1979-10-11,Nagpur,Madhya Pradesh,2025-04-26,P002,ACTIVE
C000005,Upadhriti,Ganguly,Female,1983-11-23,Nagpur,Maharashtra,2024-06-17,P003,INACTIVE
C000006,Vansha,Malhotra,Female,2001-01-13,Thane,Madhya Pradesh,2025-10-28,P004,ACTIVE
C000007,Udarsh,Kar,Male,2006-03-29,Mumbai,Madhya Pradesh,2024-02-07,P002,ACTIVE
C000008,Oni,Sankaran,Female,2005-05-21,Nagpur,Madhya Pradesh,2025-07-10,P002,ACTIVE
C000009,Eiravati,Mahajan,Male,1998-11-30,Pune,Madhya Pradesh,2025-06-07,P002,ACTIVE
C000010,Ati,Dora,Male,1994-10-18,Nashik,Maharashtra,2026-03-14,P001,ACTIVE
C000011,Yashawini,Datta,Male,1955-10-13,Indore,Maharashtra,2024-09-01,P004,ACTIVE
C000012,Ganga,Dani,Female,1981-04-17,Mumbai,Maharashtra,2024-02-27,P003,ACTIVE
C000013,Nakul,Tata,Female,1984-01-08,Pune,Maharashtra,2026-04-25,P004,ACTIVE
C000014,Maya,Tripathi,Male,1961-06-18,Thane,Maharashtra,2025-12-24,P004,ACTIVE
C000015,Daksh,Solanki,Female,1975-08-05,Nagpur,Madhya Pradesh,2025-03-12,P004,INACTIVE
C000016,Zilmil,Warrior,Male,1965-08-06,Nashik,Maharashtra,2026-01-07,P001,ACTIVE
C000017,Daniel,Sankar,Male,1962-11-28,Mumbai,Madhya Pradesh,2025-06-20,P004,INACTIVE
C000018,Avi,Sant,Male,1986-05-31,Indore,Maharashtra,2025-11-02,P001,INACTIVE
C000019,Warda,Krishnamurthy,Female,1960-05-17,Mumbai,Maharashtra,2024-01-01,P002,ACTIVE
C000020,Quincy,Kamdar,Female,2008-03-12,Nashik,Madhya Pradesh,2025-10-13,P004,ACTIVE
C000021,Lila,Golla,Female,1993-12-06,Thane,Madhya Pradesh,2026-04-11,P004,ACTIVE
C000022,Zashil,Chadha,Male,1967-09-28,Mumbai,Maharashtra,2025-02-10,P003,ACTIVE
C000023,Edhitha,Chandran,Female,1993-12-26,Indore,Madhya Pradesh,2025-11-14,P001,INACTIVE
C000024,Ishaan,Anne,Female,1976-11-05,Indore,Maharashtra,2026-03-20,P001,ACTIVE
C000025,Charan,Mutti,Female,1988-01-12,Thane,Madhya Pradesh,2026-03-16,P004,ACTIVE
C000026,Hitesh,Sahota,Male,2006-01-25,Indore,Maharashtra,2025-08-26,P002,ACTIVE
C000027,Dipta,Viswanathan,Male,1972-06-04,Indore,Madhya Pradesh,2026-03-09,P001,INACTIVE
C000028,Jagat,Kunda,Male,1994-11-16,Mumbai,Maharashtra,2024-06-13,P002,ACTIVE
C000029,Matthew,Rama,Male,1965-06-27,Thane,Madhya Pradesh,2024-12-08,P004,ACTIVE
C000030,Lipika,Tata,Male,1973-06-03,Thane,Madhya Pradesh,2025-11-20,P004,ACTIVE
C000031,Pranit,Zacharia,Female,2004-12-16,Bhopal,Madhya Pradesh,2026-04-19,P003,ACTIVE
C000032,Omaja,Gokhale,Male,1960-04-14,Mumbai,Maharashtra,2025-12-26,P001,ACTIVE
C000033,Yash,Sarna,Male,1982-02-26,Nagpur,Madhya Pradesh,2024-03-22,P003,ACTIVE
C000034,Anjali,Zachariah,Male,2006-10-30,Bhopal,Madhya Pradesh,2024-09-12,P001,ACTIVE
C000035,Xiti,Jhaveri,Female,1960-01-04,Mumbai,Madhya Pradesh,2025-02-01,P002,ACTIVE
C000036,Lohit,Lall,Male,1977-10-08,Nagpur,Maharashtra,2026-04-21,P002,INACTIVE
C000037,Chasmum,Chokshi,Male,2007-02-09,Pune,Maharashtra,2023-09-26,P004,ACTIVE
C000038,Mugdha,Dani,Female,1989-03-20,Nashik,Maharashtra,2026-08-10,P002,ACTIVE
C000039,Rajata,Purohit,Male,1970-02-04,Mumbai,Madhya Pradesh,2025-12-14,P002,ACTIVE
C000040,Ansh,Bail,Female,1959-01-12,Nashik,Maharashtra,2024-07-20,P001,ACTIVE
C000041,Bhanumati,Barad,Female,1967-04-04,Indore,Maharashtra,2024-03-12,P004,ACTIVE
C000042,Tanmayi,Bali,Female,1972-10-24,Nagpur,Maharashtra,2025-12-15,P002,ACTIVE
C000043,Ranveer,Bhatia,Male,2004-01-28,Nagpur,Madhya Pradesh,2024-07-03,P003,ACTIVE
